Title,Year,Format,Region,Theme,Genre,Animated,Watched,Commentary,Nudity,Subtitles,Sound,Runtime,Rating,Starring1,Starring2,Creator1,Decade,Added,Watched
Allan Quartermain and the Lost City of Gold,1987,DVD,2,Treasure Hunt,Adventure,N,Y,N,N,DK,,99,4,Richard Chamberlain,Sharon Stone,Gary Nelson,1980,08/06/2020,11/06/2020
All Quiet on the Western Front,1979,DVD,2,War / Military,Drama,N,N,N,N,DK,,123,,Ernest Borgnine,Donald Pleasence,Delbert Mann,1970,11/09/2020,
Alice in Wonderland,1999,DVD,2,Fantasy,Adventure,N,N,N,N,EN/DK,,130,,Martin Short,Peter Sellers,,1990,23/06/2021,
Alice in Wonderland,2010,DVD,2,Fantasy,Adventure,N,N,N,N,EN/DK,,104,,Johnny Depp,Anne Hathaway,Tim Burton,2010,08/04/20201,
Alien,1979,Blu-Ray,A/B/C,Sci-Fi,Horror,N,Y,Y,N,DK,,116,6,Sigourney Weaver,,Ridley Scott,1970,,
Aliens,1986,Blu-Ray,A/B/C,Sci-Fi,Horror,N,Y,Y,N,DK,,157,6,Sigourney Weaver,Bill Paxton,James Cameron,1980,,
Alien 3 (Special Edition) ,1992,DVD,2,Sci-Fi,Horror,N,N,Y,N,EN/DK,,139,,Sigourney Weaver,,David Fincher,1990,,
Alien Resurrection (Special Edition),1997,DVD,2,Sci-Fi,Horror,N,N,Y,N,EN/DK,,111,,Sigourney Weaver,,Josh Wedon,1990,,
Alien vs Predator,2004,DVD,2,Extraterrestrial,Action,N,Y,Y,N,EN/DK,,96,5,Lance Henriksen,,Paul W. S. Anderson,2000,22/01/2020,07/10/2020
Alita Battle Angel,2018,Blu-Ray,A/B/C,Sci-Fi,Action,N,Y,N,N,EN/DK,,122,5,Rosa Salazar,Christoph Waltz,Robert Rodriguez,2010,,09/10/2019
Along Came A Spider,2000,DVD,2,Psychological,Thriller,N,Y,N,N,EN/DK,,99,5,Morgan Freeman,Monica Potter,Lee Tamahori,2000,28/04/2020,16/05/2020
Amadeus (Director's Cut),2001,DVD,2,Historical,Drama,N,Y,N,Y,EN/DK,,173,6,F. Murray Abraham,Tom Hulce,Milos Forman,2000,26/09/2020,
American History X,2000,DVD,2,Crime,Thriller,N,N,N,N,DK,,114,,Edward Norton,Edward Furlong,Tony Kaye,2000,21/09/2020,
American Made,2017,Blu-Ray,A/B/C,Spy,Drama,N,Y,N,N,EN/DK,,115,5,Tom Cruise,,,2010,,
American Ninja,1985,DVD,2,Martial Arts,Action,N,Y,N,Y,DK,,92,5,Michael Dudikoff,,Yoram Globus,1980,01/10/2020,31/04/2021
American Ninja 5,1993,DVD,2,Martial Arts,Action,N,N,N,N,DK,,98,,David Bradley,,,1990,30/06/2021,
American Pie (Uncensored),1999,DVD,2,School,Comedy,N,Y,Y,Y,EN/DK,,92,5,Jason Biggs,Tara Reid,Paul Weitz,1990,28/04/2020,05/05/2020
American Pie 2 (Unrated),2001,DVD,2,School,Comedy,N,Y,Y,Y,EN/DK,,106,5,Jason Biggs,Seann William Scott,,2000,,07/06/2020
American Wedding ,2004,DVD,2,School,Comedy,N,Y,Y,Y,EN/DK,,99,4,Jason Biggs,Seann William Scott,,2000,08/03/2020,08/06/2020
American Psycho,2000,DVD,2,Serial Killer,Thriller,N,Y,N,Y,EN,,97,6,Christian Bale,Jared Leto,,2000,,
American Samuri,1992,DVD,2,Martial Arts,Action,N,N,N,N,DK,,87,,David Bradley,Mark Dacascos,Sam Firstenberg,1990,25/07/2021,
American Sniper,2014,DVD,2,War / Military,Action,N,N,N,N,EN/DK,,126,,Bradley Cooper,Sienna Miller,Clint Eastwood,2010,30/06/2021,
American Splendor,2003,DVD,2,Everyday,Comedy,N,N,N,N,DK,Dolby Digital (5.1),97,,Paul Giamatti,Hope Davis,Robert Wilson,2000,23/08/2021,
An American Werewolf In London,1981,Blu-Ray,B,Supernatural,Horror,N,Y,Y,Y,EN/DK,,98,5,David Naughton,Jenny Agutter,John Landis,1980,,
American Yakuza,1993,DVD,2,Martial Arts,Action,N,N,N,N,DK,,91,,Viggo Mortensen,Ryo Ishobashi,Frank Capello,1990,25/07/2021,
American Yakuza 2,1996,DVD,2,Martial Arts,Action,N,N,N,N,DK,,88,,Michael Rooker,Ryo Ishobashi,Roger Nygard,1990,27/07/2021,
Anchorman,2004,DVD,2,TV / Film,Comedy,N,Y,Y,N,EN/DK,,90,5,Will Ferrell,Christina Applegate,Adam McKay,2000,21/08/2020,24/08/2020
Anchorman 2: The Legend Continues,2013,DVD,2,TV / Film,Comedy,N,Y,N,N,EN/DK,,108,4,Will Ferrell,Steve Carrell,Adam McKay,2010,20/10/2020,
Anden Paa Coke?,2006,DVD,2,Stand-up,Comedy,N,Y,Y,N,DK,,150,4,Anders Mathesen,,,2000,,
Anger Management,2003,DVD,2,Psychological,Comedy,N,N,N,N,DK,,101,,Adam Sandler,Jack Nicholson,Peter Segal,2000,05/07/2021,
Animal Factory,2000,DVD,2,Crime,Action,N,N,N,N,DK,,91,,Willem Dafoe,Edward Furlong,John Steppling,2000,28/07/2021,
Animal House,1978,Blu-Ray,B,Boner,Comedy,N,Y,N,Y,EN/DK,,99,5,John Belushi,Karen Allen,John Landis,1970,,
"Animatrix The",2003,DVD,2,Sci-Fi,Action,Y,N,N,Y,EN/DK,,89,,,,Wachowsky Brothers,2000,11/06/2021,
Anna Karenina,2012,Blu-Ray,B,Historical,Drama,N,N,Y,Y,EN/DK,,129,,,,,2010,,
Annabelle,2014,Blu-Ray,B,Demonic,Horror,N,Y,N,N,DK,,98,3,,,,2010,,
Annihilation,2018,Blu-Ray,B,Extraterrestrial,Thriller,N,Y,N,N,EN/DK,,115,6,Natalie Portman,,,2010,,
Ant-Man,2015,Blu-Ray,A/B/C,Superhero,Action,N,Y,Y,N,EN/DK,,115,5,Paul Rudd,,,2010,,
Antibody,2001,DVD,2,Sci-Fi,Action,N,N,N,N,DK,,86,,Lance Henriksen,Robin Givens,Chris McIntire,2000,20/07/2021,
Antichrist,2009,DVD,2,Demonic,Horror,N,N,N,Y,DK,,104,,Willem Dafoe,Charlotte Gainsbourg,Lars Von Trier,2000,24/09/2020,
Antitrust,2000,DVD,1,Sci-Fi,Thriller,N,N,Y,N,EN,Dolby Digital (5.1),108,,Tim Robbins,Ryan Phillippe,Peter Howitt,2000,25/09/2021,
Apocalyptica,2006,DVD,2,Alternate History,Adventure,N,N,N,Y,DK,,132,,,,Mel Gibson,2000,08/03/2020,
Aristocats,1970,DVD,2,Music,Adventure,Y,N,N,N,EN/DK,,76,,,,,1970,17/11/2020,
Arlington Road,1999,DVD,2,Crime,Thriller,N,N,N,N,DK,Dolby Digital (5.1),113,,Tim Robbins,Jeff Bridges,Mark Pellington,1990,25/09/2021,
Armageddon,1998,DVD,2,Sci-Fi,Action,N,Y,N,N,EN/DK,,144,5,Bruce Willis,Ben Affleck,Michael Bay,1990,23/07/2020,30/07/2020
"Arrival The",1996,DVD,2,First Contact,Action,N,Y,N,,EN,,110,5,Charlie Sheen,Lindsey Crouse,David Twohy,1990,,
Arrival,2016,Blu-Ray,B,Extraterrestrial,Drama,N,Y,N,N,EN,,116,7,Amy Adams,Jeremy Renner,Denis Villeneuve,2010,,
As Good As It Gets,1997,DVD,2,Romantic,Comedy,N,Y,N,N,EN/DK,,133,6,Jack Nicholson,Helen Hunt,James L. Brooks,1990,08/10/2020,
Assassins ,1995,Blu-Ray,B,Crime,Action,N,Y,N,,EN/DK,,133,5,Antonio Banderas,,The Wachowskis,1990,,
Assault on Precint 13,1976,Blu-Ray,A/B/C,Detective,Action,N,N,Y,N,DK,,91,,Austin Stoker,Darwin Joston,John Carpenter,1970,29/03/2021,
Atonement,2007,Blu-Ray,B,Romantic,Drama,N,Y,N,,EN,,123,4,,,,2000,,
Austin Powers: International Man of Mystery,1997,DVD,2,Spy,Comedy,N,Y,N,N,DK,,90,5,Mike Myers,Elizabeth Hurley,Mike Myers,1990,28/04/2020,06/05/2020
Austin Powers: The Spy Who Shagged Me,1999,DVD,2,Spy,Comedy,N,Y,Y,N,DK,,95,5,Mike Myers,Heather Graham,Mike Myers,1990,28/04/2020,06/05/2020
Austin Powers: Goldmember,2002,DVD,2,Spy,Comedy,N,Y,Y,N,EN/DK,,91,5,Mike Myers,Seth Green,Mike Myers,2000,28/04/2020,07/05/2020
Avatar,2009,Blu-Ray,B,Extraterrestrial,Action,N,Y,N,N,EN/DK,,162,4,Sam Worthington,Sigourney Weaver,James Cameron,2000,,
Avengers: Infinty War,2018,Blu-Ray,A/B/C,Superhero,Action,N,Y,Y,N,EN/DK,,150,6,Robert Downey Jr.,Chris Hemsworth,Russo Brothers,2010,,
AVP2 (Extended Combat Edition),2007,DVD,2,Extraterrestrial,Horror,N,Y,Y,N,EN/DK,,101,5,,,,2000,,
"Babadook The",2013,Blu-Ray,B,Supernatural,Horror,N,Y,N,N,EN,,93,7,,,,2010,,
Babel,2006,DVD,2,Political,Thriller,N,N,N,N,DK,,137,,Brad Pitt,Cate Blanchett,AlejandroGonzalez Inarritu,2000,19/07/2021,
Baby Driver,2017,Blu-Ray,A/B/C,Crime,Action,N,Y,N,N,EN/DK,,113,5,,Jon Hamm,Edgar Wright,2010,,
Babylon A.D.,2008,DVD,2,Sci-Fi,Action,N,N,N,N,DK,,97,,Vin Diesel,Michelle Yeoh,Mathieu Kassovitz,2000,25/07/2021,
Backdraft,1991,Blu-Ray,2,Disaster,Action,N,N,N,N,EN/DK,,137,,Kurt Russell,,Ron Howard,1990,28/07/2021,
Back to the Future,1985,Blu-Ray,B,Sci-Fi,Adventure,N,Y,Y,N,EN/DK,,116,6,Michael J. Fox,Christopher Lloyd,Robert Zemeckis,1980,,
Back to the Future: Part II,1989,Blu-Ray,B,Sci-Fi,Adventure,N,Y,Y,N,EN/DK,,108,6,Michael J. Fox,Christopher Lloyd,Robert Zemeckis,1980,,
Back to the Future: Part III,1990,Blu-Ray,B,Sci-Fi,Adventure,N,Y,Y,N,EN/DK,,118,6,Michael J. Fox,Christopher Lloyd,Robert Zemeckis,1990,,
Bad Boy Bubby,1993,DVD,2,Dark,Comedy,N,Y,N,Y,DK,,109,7,,,,1990,,
Bad Boys,1995,DVD,2,Buddy Cop,Action,N,N,Y,N,EN/DK,,114,,Will Smith,Martin Lawrence,Michael Bay,1990,11/06/2021,
Bad Boys II,2003,DVD,2,Buddy Cop,Action,N,N,Y,N,EN/DK,,140,,Will Smith,Martin Lawrence,Michael Bay,2000,11/06/2021,
Bad Company ,2002,DVD,2,Spy,Action,N,Y,N,N,EN/DK,,111,3,Anthony Hopkins,Chris Rock,Joel Schumacher ,2000,28/09/2020,29/09/2020
Bad Santa,2003,DVD,2,Chrismas,Comedy,N,Y,N,N,DK,,88,6,Billy Bob Thornton,,,2000,28/04/2020,01/10/2020
Bad Taste,1987,DVD,2,Extraterrestrial,Horror Comedy,N,Y,N,N,DK,,88,5,Peter Jackson,,Peter Jackson,1980,,25/09/2019
Bad Teacher (Baddest Edition),2011,DVD,2,School,Comedy,N,Y,N,,DK,,94,4,Cameron Diaz,Jason Segel,,2010,,
Bad Words,2014,Blu-Ray,A/B/C,School,Comedy,N,Y,Y,Y,EN/DK,,89,4,Jason Bateman,,Jason Bateman,2010,,
Ballistic: Ecks vs. Sever,2002,DVD,2,Detective,Action,N,N,N,N,DK,,87,,Antonio Banderas,Lucy Liu,,2000,08/06/2020,
Balls of Fury,2007,DVD,2,Sports,Comedy,N,Y,N,N,DK,,91,5,Dan Fogler,Christopher Walken,Robert Ben Garant,2000,23/07/2020,26/07/2020
Bambi,1942,DVD,2,,Adventure,Y,N,N,N,EN/DK,,68,,,,,1940,17/11/2020,
Bandits,2001,DVD,2,Heist,Action Comedy,N,N,N,N,DK,,122,,Bruce Willis,Bilæy Bob Thornton,Barry Levinson,2000,25/7/2021,
Band of Brothers,2001,DVD,2,War / Military,Drama,N,N,N,N,EN/DK,,603,,,,Stephen Spielberg,2000,30/11/2020,
Basic,2003,DVD,2,War / Military,Action,N,N,N,N,DK,,,,Samuel L Jackson,John Travolta,John McTiernan,2000,18/09/2021,
Batman,1989,Blu-Ray,B,Superhero,Action,N,Y,Y,N,EN/DK,,126,6,Michael Keaton,Jack Nicholson,Tim Burton,1980,,
